970 2612
470 663 236
317 629 327
316 547 533
428 498 251
964 428 350
530 816 257
769 487 706
69 348 587
638 495 770
357 295 405
438 937 915
894 248 897
540 736 646
526 199 312
842 457 543
373 73 772
21 122 880
865 303 280
291 928 125
948 625 145
911 389 661
215 327 297
964 725 459
407 329 596
792 441 557
41 503 299
629 512 651
213 508 289
3 259 408
865 651 256
397 528 82
713 386 886
450 690 857
686 459 184
576 575 748
700 479 260
786 769 890
620 168 200
874 588 811
841 422 597
889 76 365
394 573 172
947 815 262
661 357 664
78 274 776
561 80 414
261 677 925
868 193 631
236 316 160
533 144 288
930 575 221
60 340 484
550 846 121
4 630 910
200 294 456
920 13 760
90 426 411
288 601 14
460 637 437
882 414 900
890 829 684
67 775 152
540 448 540
898 252 773
469 691 835
548 778 620
810 700 223
779 819 764
11 287 583
195 329 992
811 323 481
114 184 337
452 170 383
953 311 400
634 581 499
845 530 356
249 793 573
659 251 610
69 377 656
385 703 169
101 255 882
365 89 425
653 484 180
62 655 625
822 773 138
861 791 215
219 369 82
22 858 238
428 63 996
68 256 547
869 706 671
791 354 266
277 617 677
585 622 817
680 549 47
939 44 771
344 455 90
654 860 425
254 502 232
904 625 66
748 743 970
465 187 488
46 913 487
329 48 577
742 362 926
185 784 612
857 433 92
627 445 921
227 726 37
941 299 157
394 469 660
940 753 436
394 31 39
662 104 935
872 890 866
770 599 393
496 564 611
919 41 917
27 894 859
880 797 886
590 287 853
486 380 810
333 437 524
13 69 10
891 224 905
658 565 798
936 844 240
923 40 135
183 644 267
145 809 555
102 151 799
40 899 991
200 829 66
6 477 707
136 228 783
891 896 49
939 94 460
948 943 442
658 770 767
667 140 744
119 400 454
321 283 336
84 56 672
706 475 774
861 259 517
518 742 242
429 370 847
579 281 371
589 438 964
770 586 114
824 802 303
191 398 449
363 25 310
652 192 548
859 877 973
830 124 27
772 290 311
131 743 972
690 916 537
80 22 979
536 802 923
281 89 930
947 366 878
204 16 700
324 526 437
547 698 779
754 475 612
797 292 595
184 11 383
970 119 195
493 819 369
273 558 108
247 695 744
670 184 10
378 599 523
328 197 966
327 861 721
263 888 24
841 377 369
929 440 63
594 210 747
892 715 657
719 204 493
63 16 2
429 282 228
931 583 641
555 826 274
792 908 309
882 757 518
10 701 368
890 59 301
677 650 596
702 489 727
642 690 222
723 733 809
936 688 470
784 4 837
854 897 198
896 955 816
898 621 242
697 203 41
684 773 253
555 600 443
375 379 70
610 466 977
131 655 965
152 801 966
135 704 606
337 620 463
380 480 693
921 754 344
834 353 376
541 416 796
547 794 239
141 624 324
478 256 795
814 296 66
524 91 492
504 355 521
240 244 236
545 588 792
923 591 390
620 541 685
471 558 153
754 227 469
964 846 479
910 164 920
664 460 959
42 77 920
413 31 776
726 506 763
551 220 538
750 210 446
452 858 214
664 866 435
455 826 454
478 167 227
799 583 692
667 635 360
472 931 404
325 879 849
714 679 896
748 724 311
766 775 174
408 885 871
594 262 431
847 727 213
344 909 407
30 213 20
791 191 212
968 724 576
706 381 825
689 678 545
167 733 545
720 27 345
305 484 850
65 680 317
289 178 824
940 635 291
556 677 132
104 25 34
340 623 616
262 136 296
658 275 139
260 766 119
959 562 421
139 970 644
843 644 728
200 479 373
633 185 106
492 552 338
841 205 726
565 759 909
10 29 244
738 55 117
858 572 392
121 438 459
770 528 824
489 475 334
21 884 562
763 227 790
658 70 505
236 96 305
217 776 986
25 944 12
72 130 701
856 417 449
445 545 640
815 200 175
366 82 255
606 497 773
284 142 731
704 368 136
395 897 776
738 226 309
116 772 766
110 656 279
214 380 648
854 684 206
658 644 41
820 23 318
956 216 393
764 337 600
940 771 645
6 923 512
406 3 327
453 484 412
543 882 591
304 634 875
552 643 665
105 619 834
174 278 418
904 356 574
963 656 443
243 404 107
500 701 587
508 559 154
431 375 766
606 915 811
98 342 718
154 654 516
298 890 578
807 646 845
768 841 366
798 521 887
835 182 487
866 263 894
500 648 724
848 381 292
646 908 510
45 651 365
623 498 871
341 536 801
211 659 220
816 165 501
814 587 328
299 35 682
794 567 90
949 621 744
87 240 567
650 797 198
701 546 992
86 411 492
582 285 588
327 915 130
506 226 894
223 777 495
644 427 188
820 432 867
140 399 533
252 873 986
765 783 928
162 414 344
150 570 737
316 821 612
932 453 713
21 457 684
686 97 90
344 499 79
253 399 661
330 415 376
518 254 125
950 171 488
876 474 218
429 231 751
216 610 558
605 879 921
566 333 795
186 297 652
871 190 178
592 902 995
153 900 242
861 205 784
19 167 148
357 422 989
735 398 205
790 58 941
884 121 570
744 494 452
319 217 82
202 922 679
86 144 954
628 99 692
45 947 124
661 524 207
622 902 457
293 765 838
480 609 515
903 241 946
346 679 839
838 305 806
150 327 733
50 696 717
345 931 96
562 547 812
638 768 613
585 165 350
833 308 916
876 335 386
706 705 41
556 836 386
788 422 105
848 764 785
470 592 592
224 704 91
59 769 262
175 379 837
789 29 182
38 100 246
227 548 129
522 737 539
183 71 18
70 549 937
218 912 557
951 570 633
697 537 991
305 798 784
694 686 872
788 660 837
409 374 74
259 76 241
422 52 447
132 615 242
472 59 853
935 635 377
856 697 407
596 336 903
442 151 417
967 411 737
164 241 813
805 393 98
699 257 735
441 406 434
75 937 91
353 447 401
617 944 933
393 187 345
104 698 37
852 47 811
444 239 280
645 923 368
608 716 551
761 520 561
45 309 347
697 542 892
551 339 378
395 175 425
61 90 259
894 673 81
61 400 826
943 320 407
224 345 616
5 815 216
231 426 107
498 46 950
638 593 997
53 871 385
343 657 119
294 632 425
667 316 834
519 739 560
600 768 854
894 891 173
775 472 856
925 343 207
456 957 409
957 674 406
183 433 78
866 445 195
424 450 494
187 797 417
848 677 853
734 673 594
863 930 261
558 244 863
417 831 210
374 277 152
230 704 365
229 31 236
177 3 974
82 548 350
405 752 626
225 755 282
638 542 943
929 840 249
503 342 730
421 711 384
919 24 721
761 895 497
391 613 596
171 391 39
824 363 240
840 929 96
331 71 745
516 422 313
395 341 785
304 216 962
546 34 572
551 872 824
583 819 517
361 626 863
231 874 238
628 208 900
581 67 95
347 819 266
786 517 667
154 237 138
42 904 745
401 965 748
829 777 602
909 538 799
126 268 799
566 253 970
16 901 68
288 422 354
443 455 352
47 522 695
693 506 731
753 912 917
327 425 62
547 843 852
58 302 501
963 682 693
155 943 9
628 159 475
388 300 879
833 139 816
374 243 357
287 848 307
215 639 370
316 357 670
371 612 608
627 547 975
66 605 846
47 3 413
645 803 661
951 173 962
780 530 128
40 475 979
788 775 562
241 450 966
272 918 492
110 472 136
859 372 899
344 159 634
424 772 961
377 255 507
36 716 416
57 961 797
254 527 474
597 118 319
220 829 982
354 166 563
966 930 539
837 325 576
609 796 864
970 887 578
236 921 193
271 168 725
360 4 786
241 493 581
383 825 896
497 423 345
166 653 367
684 894 447
913 73 580
51 678 878
721 681 103
373 522 94
59 854 172
353 641 329
118 617 583
104 811 297
84 917 950
536 41 380
663 449 182
131 463 575
99 901 484
227 309 338
398 67 442
570 89 790
695 348 399
564 935 628
37 795 591
708 423 576
245 825 706
126 159 752
249 567 128
31 241 5
360 335 32
61 471 351
875 311 278
860 714 397
42 925 131
56 683 419
443 482 331
752 635 226
709 425 484
65 776 405
131 146 860
570 513 343
511 299 213
954 812 548
27 227 928
96 723 9
839 502 87
911 545 951
192 139 937
102 823 533
363 66 367
888 299 806
483 668 932
487 554 964
649 239 460
576 806 833
483 658 410
198 953 516
36 780 714
488 42 903
302 19 956
131 291 491
101 877 657
821 88 193
838 282 932
478 735 421
642 865 480
554 211 503
572 142 224
124 323 154
400 91 200
806 332 274
791 393 445
845 433 786
637 374 238
229 895 329
4 802 880
445 300 913
587 105 635
237 486 954
766 76 401
303 315 674
472 468 119
242 607 914
811 713 975
202 31 486
529 311 953
820 96 567
381 742 886
889 899 603
931 415 942
394 955 260
479 224 913
418 872 761
405 949 955
22 186 969
641 724 390
274 3 30
777 699 306
559 745 901
453 593 371
376 48 226
222 110 617
377 936 541
397 480 418
162 317 563
42 52 974
669 605 759
871 683 428
557 601 188
873 454 367
248 32 862
881 898 546
930 287 221
86 838 464
10 73 179
847 85 641
258 373 361
964 62 82
817 191 247
429 152 589
690 892 547
545 24 789
350 722 887
765 755 310
902 848 429
109 282 959
429 359 869
204 47 114
599 751 495
661 675 602
364 931 230
63 769 668
477 685 775
959 508 291
588 142 635
284 377 115
805 408 845
594 803 557
457 688 74
717 895 224
740 263 415
387 799 127
146 699 723
944 685 878
877 891 272
134 288 339
860 101 873
121 492 218
528 62 508
538 204 89
820 533 487
246 927 933
262 193 43
610 404 561
139 696 59
501 335 839
12 24 127
869 82 823
109 934 360
123 42 188
664 933 7
961 735 425
400 182 242
843 37 397
406 279 508
386 788 86
349 653 772
912 243 49
327 415 398
322 289 840
639 820 57
685 229 41
235 970 478
635 960 939
79 940 537
331 225 552
92 4 874
896 608 764
693 785 455
621 168 470
836 1 423
375 716 545
618 565 512
178 486 268
911 137 926
446 544 349
943 609 371
802 123 939
69 543 191
192 153 119
185 216 806
870 175 108
278 280 716
808 714 381
858 803 177
542 186 203
503 488 231
939 769 762
31 345 386
782 31 444
404 637 455
313 803 922
955 682 510
590 604 78
477 16 447
213 682 771
441 570 414
392 544 466
299 748 342
202 603 892
705 166 402
102 298 720
59 911 350
92 730 858
478 716 444
432 7 774
758 391 234
471 296 390
209 723 542
613 789 916
499 376 500
888 466 978
52 459 906
835 759 374
813 852 184
879 51 6
843 846 148
203 706 626
730 620 54
141 968 429
802 668 664
673 414 387
651 165 670
623 329 856
86 569 83
427 730 621
394 800 53
551 463 486
208 669 922
105 783 467
569 443 506
353 787 147
251 709 270
831 793 659
117 789 538
870 593 250
646 866 988
466 544 126
37 151 750
618 838 194
62 836 519
185 101 594
904 760 813
262 40 375
461 369 175
140 479 481
484 442 634
436 240 287
170 728 686
199 152 219
453 408 984
55 617 135
483 392 957
781 880 498
644 444 543
703 482 921
475 642 823
282 647 473
229 941 361
802 418 114
847 187 40
115 961 747
252 26 938
36 778 760
577 603 868
509 600 436
214 831 612
425 848 933
27 312 947
385 399 269
825 85 829
306 183 645
660 695 169
763 217 550
431 23 518
245 183 46
933 828 18
409 215 224
575 355 855
463 30 971
302 460 773
767 484 451
39 14 896
488 168 521
768 911 343
519 259 354
516 54 329
192 152 710
46 15 844
970 797 598
97 197 830
137 119 905
882 683 716
351 615 994
528 486 313
517 950 159
1 58 326
586 252 508
825 576 173
695 497 821
33 196 406
161 155 396
781 936 11
57 24 661
512 74 682
529 239 99
803 270 160
166 774 33
402 230 833
738 145 51
896 521 562
652 252 648
286 961 919
516 19 954
507 840 898
388 833 403
419 795 892
184 934 191
394 279 543
134 196 102
700 818 88
892 292 699
603 12 197
93 590 568
290 22 756
607 296 26
14 642 450
390 134 642
301 68 893
927 818 805
895 671 918
754 280 787
92 66 352
562 20 59
66 810 618
847 310 293
473 302 400
155 623 131
102 284 750
329 187 594
654 640 333
947 793 511
865 56 374
864 367 157
441 345 80
702 102 150
696 536 696
700 241 542
249 812 439
566 450 946
748 590 637
924 77 707
916 746 224
684 685 692
777 558 25
792 79 50
407 684 400
411 512 572
365 178 263
38 144 427
764 782 91
658 819 317
938 56 672
885 673 865
756 329 30
128 563 186
417 97 670
157 438 145
770 726 554
344 694 449
170 248 966
484 846 795
25 849 548
695 260 663
44 282 498
275 924 755
91 49 849
344 671 188
488 969 257
531 245 141
40 931 81
500 116 977
463 654 342
81 941 369
209 764 870
536 560 184
288 402 213
75 228 413
442 142 255
16 335 93
888 16 126
35 970 574
365 746 465
578 676 610
201 639 562
144 43 599
852 246 59
387 503 70
274 234 844
843 252 393
527 502 566
730 872 207
216 31 713
526 929 451
55 616 400
69 468 681
516 365 865
605 597 597
450 280 61
604 63 288
688 404 238
559 934 1
274 832 246
687 130 351
103 134 461
703 803 184
829 271 671
574 294 740
379 666 247
308 405 799
600 560 386
634 588 491
426 932 776
167 319 724
615 339 801
636 342 968
893 796 522
57 412 969
96 389 176
571 384 443
31 400 61
860 431 310
107 318 188
896 502 314
954 428 184
368 613 459
715 613 493
289 435 691
214 359 639
742 55 877
63 45 367
496 167 45
448 247 643
450 55 915
197 432 246
122 2 879
441 415 778
824 54 253
671 868 226
574 374 876
500 544 330
740 818 177
362 155 927
785 946 850
448 722 392
876 267 679
419 357 183
194 589 953
382 505 399
836 24 663
835 514 440
837 346 348
755 854 765
268 23 31
219 268 359
448 125 686
382 450 542
13 21 246
94 180 755
23 186 662
746 134 842
232 60 151
587 817 347
574 30 740
667 400 446
813 926 121
289 241 698
713 705 270
440 342 401
1 40 985
152 495 480
6 830 390
946 770 259
533 118 45
469 124 843
737 750 213
61 435 443
306 594 321
785 765 252
372 14 874
607 423 98
102 556 290
487 904 862
808 153 606
361 765 213
324 276 588
715 169 155
962 155 447
324 432 922
592 296 625
615 269 114
672 433 841
564 197 827
908 898 816
498 928 536
185 722 610
322 939 237
51 782 850
765 155 768
576 38 655
237 420 387
776 221 150
336 850 897
340 473 57
337 866 394
82 598 718
945 684 344
776 498 924
137 637 628
597 557 569
580 108 699
274 730 696
680 522 852
803 909 511
765 153 135
935 296 341
623 119 94
631 624 929
306 77 121
512 778 337
15 280 336
335 197 805
931 901 599
896 300 49
795 276 60
67 258 5
874 375 10
84 424 228
699 559 53
292 659 338
292 588 986
732 468 981
312 549 93
124 574 847
292 850 614
818 287 241
886 354 376
649 307 105
920 108 883
337 544 33
665 706 393
621 638 160
8 888 557
340 855 252
496 802 486
235 291 54
185 773 700
813 430 421
82 842 63
571 453 249
821 256 303
622 241 261
447 802 216
9 798 390
79 209 658
595 611 185
132 962 983
471 473 422
319 199 512
697 360 629
169 166 794
269 749 148
440 133 695
602 676 313
221 234 944
433 898 507
126 863 662
142 575 205
900 370 211
859 630 634
286 942 562
596 480 500
136 309 760
485 76 905
476 363 908
514 258 266
391 429 649
308 518 156
464 617 516
656 135 629
753 308 432
555 506 663
398 533 373
958 125 159
555 855 128
925 177 902
325 779 59
593 886 859
556 892 977
748 969 561
272 10 606
702 211 637
357 832 308
27 212 485
688 486 666
526 438 400
635 768 249
272 310 293
738 735 294
421 456 325
664 422 146
713 762 390
846 828 494
127 705 805
180 342 183
281 5 600
843 905 123
338 115 775
704 357 14
462 185 171
290 931 788
378 356 278
351 729 78
305 270 958
487 137 146
546 940 117
841 421 510
902 877 948
405 166 441
698 814 569
645 456 438
944 173 383
680 853 364
150 588 620
636 694 750
254 371 398
498 9 435
556 117 923
798 372 341
941 942 375
132 177 593
98 459 519
382 193 993
921 298 919
166 479 576
798 391 655
682 864 954
598 146 185
912 874 336
393 776 732
402 500 331
37 119 614
425 570 728
37 398 479
427 135 867
511 582 753
136 563 48
410 813 893
305 363 19
470 710 545
836 439 378
522 648 886
316 960 97
662 373 197
324 361 650
711 378 381
26 403 148
766 897 417
79 630 504
846 743 924
120 811 748
376 133 825
591 40 545
312 7 569
125 745 352
649 328 137
377 820 700
124 749 436
548 115 331
622 327 637
479 832 366
467 97 252
628 413 181
505 2 498
653 108 27
579 867 2
834 575 762
922 925 34
890 334 929
414 345 115
526 519 884
109 412 654
844 506 863
450 654 145
841 922 237
276 142 913
451 84 860
730 294 706
712 129 155
279 591 291
622 750 341
523 647 104
175 699 487
952 31 879
708 573 544
471 194 536
577 129 13
30 757 431
105 323 664
432 120 707
918 560 890
436 188 813
223 181 801
324 351 944
844 186 40
292 84 132
147 846 654
376 761 605
424 483 449
331 673 790
877 859 236
692 472 418
548 751 330
577 95 841
895 527 681
198 914 555
799 202 54
905 696 853
79 94 12
961 174 169
324 306 503
767 109 919
696 291 104
697 73 40
487 133 106
194 600 623
559 365 623
754 226 845
435 131 993
97 761 223
593 704 537
894 663 697
96 662 265
587 182 837
511 600 690
962 264 358
398 568 689
87 777 668
671 263 807
66 468 273
251 275 546
828 475 836
508 433 579
456 291 983
103 678 998
337 687 21
775 739 895
14 689 588
829 816 370
199 499 626
364 14 741
758 839 670
886 161 675
445 418 507
62 625 350
139 84 84
485 291 28
368 585 982
500 369 352
774 809 889
276 484 102
201 82 492
779 738 939
95 932 322
581 401 555
704 128 226
404 480 863
336 183 772
309 960 679
656 535 805
676 208 595
811 129 624
720 355 409
857 652 95
223 217 902
577 224 14
5 409 189
65 343 571
328 694 978
634 900 395
717 313 420
472 365 724
202 861 823
343 792 131
562 482 568
473 139 214
810 966 135
231 135 262
273 879 517
686 628 177
330 252 231
173 187 866
65 427 935
630 70 498
724 929 58
323 372 712
272 162 230
696 151 256
81 895 366
523 313 45
245 35 422
923 342 322
930 92 248
159 627 572
254 155 728
278 297 87
825 344 697
403 283 343
13 354 565
510 850 512
619 332 821
216 626 9
380 127 226
243 12 789
814 157 377
849 284 57
608 835 455
309 455 635
595 664 952
221 424 899
449 445 156
809 744 706
721 901 416
322 892 5
163 63 102
152 765 297
245 72 642
812 869 379
255 940 846
778 698 139
135 595 53
785 347 464
378 607 517
83 504 179
663 408 749
246 791 489
95 198 264
186 917 419
843 804 43
916 875 995
36 237 316
64 539 914
651 366 865
175 721 704
909 90 477
800 184 689
325 657 717
236 554 771
129 702 761
453 769 775
264 475 125
523 426 92
421 670 749
415 557 686
326 485 568
845 215 505
758 483 324
962 830 110
26 346 132
939 83 297
123 97 969
766 707 533
822 196 549
529 895 898
531 213 747
791 219 122
168 170 781
590 81 437
603 809 33
133 461 264
557 868 192
670 849 755
326 653 382
904 515 154
647 949 418
717 80 313
81 63 154
268 404 607
233 381 898
737 195 960
335 608 968
98 360 602
493 884 305
202 702 302
684 610 184
60 810 697
480 298 910
88 236 457
313 407 291
204 542 294
192 261 349
957 20 137
261 348 517
415 609 167
855 260 901
159 639 400
387 185 986
622 415 358
382 117 663
113 69 917
910 823 913
887 380 940
579 851 754
189 110 193
605 791 344
826 637 590
792 741 111
530 572 195
303 802 33
591 210 579
311 393 879
461 712 93
85 345 715
461 45 764
743 335 249
392 176 575
748 676 299
187 958 334
194 946 304
939 630 62
65 941 880
255 879 85
577 834 985
502 915 3
574 636 922
413 751 593
333 678 452
770 630 580
706 899 785
471 172 935
394 386 134
288 94 470
400 43 259
95 133 455
168 855 573
114 572 776
653 422 824
935 433 18
473 293 100
189 933 305
32 817 222
235 231 689
217 904 233
812 67 417
735 810 353
700 727 698
158 37 377
92 278 741
24 595 984
469 910 400
578 269 415
790 23 923
78 21 776
353 420 347
10 709 382
294 207 398
193 650 49
797 402 615
273 572 388
278 729 677
191 740 853
9 21 123
44 251 935
30 637 63
627 149 133
886 495 9
758 444 561
411 277 96
188 608 162
407 621 31
93 182 86
241 719 388
103 77 581
831 872 321
325 362 959
343 550 496
196 846 820
29 745 769
794 964 559
2 585 511
287 774 504
616 172 186
126 624 430
392 368 88
732 486 951
208 439 514
643 540 47
423 763 45
384 36 564
192 548 445
14 116 588
846 209 329
33 695 105
93 932 995
837 11 807
586 826 865
263 139 437
827 268 322
772 241 148
940 713 563
310 485 59
